order_date,product,region,sales_amount
2023-02-23,Laptop,East,2290.4
2024-12-19,Phone,South,544.01
2023-05-10,Desk,North,4361.868
2025-02-26,Chair,Central,5887.746
2023-06-24,Desk,East,4279.68
2024-02-20,Monitor,Central,654.653
2023-01-11,Chair,South,110.25
2023-01-09,Chair,Central,842.061
2024-10-16,Chair,South,1231.314
2025-03-05,Desk,West,1454.76
2024-04-10,Desk,North,6671.9475
2024-07-12,Phone,East,3545.685
2023-07-21,Phone,Central,114.5035
2025-01-18,Tablet,West,134.1555
2024-12-08,Desk,North,2808.825
2025-05-11,Chair,West,2631.804
2023-02-26,Laptop,West,4486.09
2024-05-28,Desk,Central,5989.313
2023-11-30,Phone,East,8823.68
2023-06-22,Desk,West,431.62
2025-06-05,Phone,West,3190.5
2023-03-03,Chair,Central,4160.107
2024-02-18,Laptop,North,5536.3
2023-08-06,Laptop,Central,4821.744
2024-05-23,Desk,North,1440.05
2023-10-23,Phone,East,7309.77
2025-06-16,Phone,West,101.73
2023-03-03,Phone,North,1117.96
2024-11-18,Laptop,South,151.7675
2023-05-09,Tablet,Central,424.863
2024-12-07,Tablet,North,3675.48
2024-02-13,Phone,North,2586.8815
2025-03-09,Desk,South,389.88
2023-04-05,Desk,Central,8100.33
2025-05-08,Monitor,North,1903.048
2023-09-03,Tablet,North,1149.96
2025-03-21,Chair,Central,2934.4455
2025-06-20,Chair,South,1791.0095
2024-02-15,Printer,Central,5394.438
2023-06-09,Laptop,Central,855.576
2023-08-10,Printer,South,2116.44
2024-06-16,Printer,Central,1238.23
2023-07-23,Laptop,South,434.04
2023-05-20,Printer,Central,1561.654
2023-06-30,Laptop,South,790.514
2024-06-04,Tablet,South,4841.28
2025-02-03,Chair,West,309.7655
2024-01-09,Tablet,East,3961.136
2024-03-14,Desk,North,743.175
2024-09-06,Monitor,West,2889.558
2023-03-17,Monitor,East,772.083
2025-01-17,Chair,West,503.38
2024-09-12,Laptop,South,242.469
2024-01-05,Monitor,South,705.47
2024-04-19,Tablet,West,2695.044
2025-06-11,Tablet,Central,2432.2375
2025-03-06,Phone,East,2113.746
2023-05-24,Chair,East,451.71
2023-01-27,Phone,South,3923.766
2024-03-21,Laptop,South,5418.819
2025-01-25,Laptop,West,5016.02
2023-06-12,Phone,Central,2413.44
2025-03-22,Chair,Central,1283.553
2024-02-24,Desk,Central,642.6
2023-12-09,Chair,South,7667.55
